id_presupuesto,plazo_ejecucion,fecha_presupuesto,fecha_validez,fecha_actualizacion,fecha_creacion,fecha_vencimiento,importe_presupuestado,total_sin_impuestos,total_con_impuestos,id_licitacion,beneficios_esperados,metodos_pago,moneda,porcentaje_descuento_acumulado,canal_entrada,cliente,comentarios,complejidad_general,dias_negociacion,estado_presupuesto,metodo_contacto,motivo_rechazo,numero_items,rating_comercial,responsable_comercial,sector_industria,segmento_cliente,categoria_licitada,aceptado,importe_presupuestado_media,importe_presupuestado_medio_segmento,importe_presupuestado_std,probabilidad_cierre_estimada,costo_total_personal,costo_total_maquinaria,costo_total_materiales,costo_total_imprevistos,costo_total,n_dias_planificados,dias_ejecucion_real,desviacion_coste,desviacion_duracion
PR1234,148,2017-01-03,2017-02-02,2017-01-07,2017-01-02,2017-02-04,581256.1730846621,581256.1730846621,703319.969432441,LIPR1234,77622.89455847563,Progresivo,EUR,14.603231934992747,Digital,Ayuntamiento de Madrid - Servicios de Infraestructuras,Federal capital national face federal break view situation relationship hit modern.,3,20,Aceptado,Email,0,13,4,Ana Martínez,Impermeabilización,Público,Otros,True,549701.8787000739,550788.432302039,31760.19086053934,74.59643270499168,41496.0,156940.57317439237,322394.296174011,33922.25733697967,554753.126685383,157,19,-104125.94095775466,138
PR160,24,2017-01-08,2017-02-07,2017-01-09,2017-01-03,2017-02-16,258492.65454045252,258492.65454045252,312776.1119939476,LIPR160,32367.897460604054,Transferencia,EUR,7.002366790564725,Digital,Administración Local de Oropesa,Ahead answer light after choose.,1,6,Aceptado,Email,0,5,3,José García,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,65.07539984158598,13640.0,86927.14972897692,120633.7705111553,0.0,221200.9202401322,21,9,-69659.63176092439,12
PR364,279,2017-01-10,2017-02-09,2017-01-14,2017-01-06,2017-02-18,1235741.8972440276,1235741.8972440276,1495247.6956652731,LIPR364,147499.93690297383,Progresivo,EUR,8.352396616343015,Telefónico,Empresa Pública de Abastecimiento de Agua,Against our page year enter.,2,10,Rechazado,Teléfono,Incompatibilidad técnica,9,4,María López,Agua Potable,Privado,Infraestructura,False,1196569.0440839771,1200738.4150724178,66885.36004922881,72.3106402456192,155040.0,697341.0559062492,598656.3128554026,131454.09233598568,1582491.4610976377,320,39,199249.62695063624,281
PR801,132,2017-01-10,2017-02-09,2017-01-11,2017-01-09,2017-02-10,793030.2747536537,793030.2747536537,959566.6324519208,LIPR801,108904.5006713712,Pagaré,EUR,0.0,Digital,Gobierno Regional de Castilla-La Mancha - Departamento de Agua,Event along discuss find now.,1,6,Aceptado,Web,0,10,5,Ana Martínez,Agua Potable,Público,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,87.75569285479351,48840.0,244208.55534166348,347823.05110643106,34183.18323329625,675054.7896813909,130,14,-226879.98574363402,116
PR1073,82,2017-01-12,2017-02-11,2017-01-12,2017-01-08,2017-02-21,554008.276779556,554008.276779556,670350.0149032627,LIPR1073,96205.38039318444,Progresivo,EUR,0.377350403976008,Digital,Instituto Municipal de Conservación y Mantenimiento,Evidence director decision discuss this design activity government.,2,6,Aceptado,Web,0,8,3,José García,Impermeabilización,Privado,Otros,True,549701.8787000739,550788.432302039,31760.19086053934,61.990455247179554,28320.0,152540.50000478714,235185.34331247417,21237.913208313406,437283.7565255747,85,11,-212929.90064716566,74
PR1051,331,2017-01-13,2017-02-12,2017-01-20,2017-01-10,2017-02-22,1141368.6041689494,1141368.6041689494,1381056.0110444287,LIPR1051,128733.35823048223,Retención,EUR,10.41490194840733,Telefónico,Administración Local de Oropesa,Police customer series either read computer.,2,12,Aceptado,Teléfono,0,13,3,Ana Martínez,Agua Potable,Privado,Infraestructura,True,1196569.0440839771,1200738.4150724178,66885.36004922881,65.81819372347324,297984.0,1193110.4650265386,565074.4003286922,88372.09925613907,2144540.96461137,389,53,874439.0022119385,336
PR1076,281,2017-01-16,2017-02-15,2017-01-15,2017-01-11,2017-02-17,1216367.6098003194,1216367.6098003194,1471804.8078583863,LIPR1076,138275.6949989356,Retención,EUR,18.449117679799063,Telefónico,Consorcio Municipal de Agua de Toledo,Rock region listen official tell section.,3,20,Aceptado,Teléfono,0,14,4,María López,Agua Potable,Privado,Infraestructura,True,1196569.0440839771,1200738.4150724178,66885.36004922881,62.75196717015877,277888.0,1043336.3257088235,584185.7500543527,95958.2558109598,2001368.3315741357,319,26,646725.0267748807,293
PR905,46,2017-01-17,2017-02-16,2017-01-15,2017-01-12,2017-02-25,269942.1059922328,269942.1059922328,326629.94825060165,LIPR905,48857.781587123216,Cheque,USD,4.183719097893873,Presencial,Instituto Municipal de Conservación y Mantenimiento,Write member time under spring model practice new world.,1,4,Aceptado,Presencial,0,7,2,María López,Impermeabilización,Privado,Tanque,True,321845.46434376953,327464.11015569995,40023.79221888236,65.57773323346328,20680.000000000004,64198.379902398316,145571.98216323415,21415.738069620886,251866.1001352533,41,8,-66933.78744410271,33
PR909,26,2017-01-17,2017-02-16,2017-01-24,2017-01-14,2017-02-22,123754.60369467932,123754.60369467932,149743.07047056197,LIPR909,10036.261398986082,Anticipado,EUR,10.699156874410056,Digital,Departamento de Agricultura y Desarrollo Rural de Andalucía,Lot choice big morning onto specific.,3,14,Aceptado,Web,0,7,2,Ana Martínez,Riego,Privado,Automático,True,114631.91025091078,114371.40757955068,4425.440904820535,50.93791032972966,10140.0,46591.33407493168,60420.02097219634,0.0,117151.35504712802,21,4,-16639.510046537383,17
PR484,24,2017-01-18,2017-02-17,2017-01-18,2017-01-15,2017-02-24,212362.15923095567,212362.15923095567,256958.21266945635,LIPR484,27808.29528129984,Progresivo,EUR,3.8521188140478224,Digital,Administración Local de Oropesa,When cause lawyer pull risk street positive.,1,6,Aceptado,Email,0,3,5,José García,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,83.24331594557363,13640.0,88094.90402868912,93473.58699071471,0.0,195208.49101940385,23,12,-44961.96349285166,11
PR709,7,2017-01-25,2017-02-24,2017-01-28,2017-01-23,2017-02-25,89883.32874237868,89883.32874237868,108758.8277782782,LIPR709,12429.867798482868,Confirming,EUR,0.0,Telefónico,Administración Local de Oropesa,Win bill development determine future prevent cold need suddenly common.,1,3,Aceptado,Teléfono,0,3,4,José García,Agua Potable,Privado,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,79.74817996353252,3520.0,21966.213129676922,47404.49674217907,0.0,72890.709871856,6,4,-29422.48666900555,2
PR1498,22,2017-01-27,2017-02-26,2017-01-29,2017-01-24,2017-03-02,91078.04912698251,91078.04912698251,110204.43944364884,LIPR1498,11774.038811254668,Contado,EUR,12.975548328051945,Digital,Comunidad de Regantes de la Costa Tropical,Six performance stop future chance game expect officer number trade.,2,10,Aceptado,Web,0,6,5,Pedro Sánchez,Riego,Privado,Parques,True,87548.47788968829,87362.51186738555,4264.501779009559,81.73891590403234,18096.0,85909.93035428287,44703.220547293,0.0,148709.15090157586,23,7,45857.062963338685,16
PR815,108,2017-02-02,2017-03-04,2017-02-04,2017-02-01,2017-03-08,796118.4232485723,796118.4232485723,963303.2921307724,LIPR815,98153.36519038337,Pagaré,EUR,9.37191818565992,Digital,Administración Local de Oropesa,Half local talk middle seem chair none crime.,3,19,Aceptado,Web,0,12,1,Pedro Sánchez,Agua Potable,Privado,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,43.88987996274393,43160.0,180943.2553555192,350047.3729428944,20755.76416287594,594906.3924612895,106,8,-299365.39597766614,98
PR0,113,2017-02-05,2017-03-07,2017-02-10,2017-01-31,2017-03-16,559075.9507426744,559075.9507426744,676481.900398636,LIPR0,82683.527820429,Cheque,EUR,1.9921530312840363,Telefónico,Instituto Municipal de Conservación y Mantenimiento,Key bring recent role very.,2,5,Aceptado,Teléfono,0,13,3,Juan Pérez,Impermeabilización,Privado,Otros,True,549701.8787000739,550788.432302039,31760.19086053934,69.441523022573,26880.0,109838.98926988678,281039.2430392871,4316.662718228753,422074.89502740273,114,9,-219684.5835357007,105
PR857,40,2017-02-06,2017-03-08,2017-02-09,2017-02-03,2017-03-11,405705.84804945474,405705.84804945474,490904.0761398402,LIPR857,53996.09858370687,Transferencia,EUR,0.0,Digital,Ayuntamiento de Calatayud,And worker above organization clearly.,1,3,Aceptado,Email,0,5,5,Pedro Sánchez,Agua Potable,Público,Tratamiento,True,289905.4361511126,288434.093631625,70548.1804548662,87.89902909187249,25960.0,165111.22477133892,194186.09642564712,30060.268870054497,415317.5900670406,40,13,-44384.35656612103,27
PR737,36,2017-02-07,2017-03-09,2017-02-10,2017-02-06,2017-03-15,119860.04544369847,119860.04544369847,145030.65498687516,LIPR737,12823.094935313007,Pagaré,EUR,3.511654738736929,Digital,Cooperativa Agraria de Riego y Desarrollo,More act marriage peace TV war sound capital but water.,1,5,Aceptado,Web,0,8,5,Ana Martínez,Riego,Privado,Automático,True,114631.91025091078,114371.40757955068,4425.440904820535,95.0,14872.000000000002,35126.82431591531,56834.95523866041,4351.523622063574,111185.30317663928,33,7,-21497.837202372197,26
PR911,86,2017-02-09,2017-03-11,2017-02-09,2017-02-08,2017-03-18,712731.1696554245,712731.1696554245,862404.7152830637,LIPR911,84233.90767941652,Retención,EUR,4.8226895142036135,Digital,Ayuntamiento de Calatayud,There pretty space wide win must walk.,1,7,Aceptado,Email,0,6,5,María López,Agua Potable,Público,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,83.77655703055957,49764.00000000001,119148.29714752675,327457.49217358825,0.0,496369.789321115,85,24,-300595.28801372607,61
PR1165,101,2017-02-10,2017-03-12,2017-02-14,2017-02-06,2017-03-22,861884.811027754,861884.811027754,1042880.6213435824,LIPR1165,127324.19079586152,Pagaré,EUR,5.807855042030927,Presencial,Consorcio Municipal de Agua de Toledo,Live decade either voice training.,2,8,Aceptado,Presencial,0,10,3,Ana Martínez,Agua Potable,Privado,Distribución,True,746784.6346840662,750658.9928292787,82459.54389111296,57.20540291809969,50544.0,112026.11279733849,380993.44615439785,22499.43983408372,566062.9987858201,98,10,-423146.0030377954,88
PR136,135,2017-02-13,2017-03-15,2017-02-19,2017-02-09,2017-03-25,556413.3434261628,556413.3434261628,673260.145545657,LIPR136,68698.94072435326,Retención,EUR,22.809645458409783,Presencial,Ayuntamiento de Madrid - Servicios de Infraestructuras,During change that leave house after sense large structure begin.,3,27,Aceptado,Presencial,0,12,2,Ana Martínez,Impermeabilización,Público,Otros,True,549701.8787000739,550788.432302039,31760.19086053934,52.77290439337544,37856.0,222267.43578367832,277515.24301507085,36924.63190370408,574563.3107024531,145,17,-50548.97344806297,128
PR1264,56,2017-02-15,2017-03-17,2017-02-24,2017-02-14,2017-03-20,327349.1511358854,327349.1511358854,396092.4728744213,LIPR1264,51227.09829156184,Confirming,EUR,12.01606332822553,Telefónico,Empresa Mixta de Mantenimiento Urbano,Instead tough relationship door economic.,2,15,Aceptado,Teléfono,0,9,4,Pedro Sánchez,Impermeabilización,Privado,Tanque,True,321845.46434376953,327464.11015569995,40023.79221888236,75.60103029928288,20832.0,84883.38214816425,156548.88126881485,28206.69783955838,290470.96125653747,54,8,-88105.28817090976,46
